,1-B,8-C,7-C,6-C,9-C,7-B,7-A,6-B,9-B,8-B,8-A,2-B,11-A,12-A,12-B,9-A,12-C,1-A,5-C,3-C,1-C,10-C,6-A,10-B,10-A,2-A,11-C,13-C,4-C,11-B,5-B,13-A,2-C,5-A
1-A,0.9999999969099322,0.0,0.38025372251896106,0.9999999979684489,0.0,0.9999999971803988,0.999999998205015,0.0,0.0,0.0,0.0,0.12426573843553812,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999977423484,0.9999999979294572,0.1507551962222209,0.0,0.9999999976882978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1262588363814452,0.0,0.0,0.1259058995399014
3-C,0.0,0.9999999970108746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.576627965491298e-11,1.644233638131709e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-B,0.0,0.0,0.07940634357913767,0.0,0.0,0.07940634334919427,0.999999998856494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7-A,0.0,0.0,0.0,0.0,0.0,0.34568272563185576,0.9999999991203754,0.0,0.0,0.0,0.0,0.0,0.1959422569477347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999993521445,0.0,0.12432127131727388,0.0,0.0,-0.38941768447229463,0.0,-0.31317373711574426,0.0,0.0
9-C,0.0,0.9999999984743932,0.9999999988901245,0.0,0.9999999987191106,0.9999999989000052,0.9999999994453908,0.0,0.9999999982702255,0.04954469359574132,0.0,0.0,0.0,0.0,0.0,0.9999999993149931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-B,0.0,0.1201233449187018,0.9999999986726431,0.0,0.9999999986203987,0.9999999987854868,0.9999999990385287,0.0,0.99999999807038,0.0,0.3478285292825716,0.0,0.0,0.0,0.0,0.9999999989942068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-C,0.0,0.47865460150813366,0.3564530155985537,0.0,0.0,0.35645301529050255,0.12215907754294864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10-A,0.0,0.0,0.5550790416724798,0.0,0.0,0.043208034485353375,0.2397121017985966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12877120287290222,0.0,0.05503809490883871,0.12501189104339216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7-B,0.0,0.0,0.9999999988280848,0.0,0.9999999991195869,0.0,0.9999999990575403,0.0,0.14510076429649343,0.0,0.0,0.0,0.0,-0.020543412262804428,0.5510449205196133,0.0,-0.30720088170424176,0.0,0.0,0.0,0.0,0.0,0.0,0.34669015826127025,0.21980678036389634,0.0,0.14717645088861908,0.3529199983561695,0.0,0.0,0.0,0.0,0.0,0.0
8-C,0.0,0.0,0.999999998874967,0.0,0.9999999974686318,0.20613230370465785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
