,1-A,3-C,12-B,7-A,9-C,9-B,12-C,10-A,7-B,8-C,3-B,5-A,1-C,1-B,12-A,9-A,7-C,2-B,6-C,8-B,10-C,6-B,6-A,10-B,14-C,11-A,4-C,2-C,11-C,4-B,11-B,2-A,14-B,8-A,14-A
1-B,0.999999997004047,0.9999999966064634,0.0,0.9999999989232702,0.0,0.0,0.0,0.0,0.9999999982055223,0.0,0.9999999973447866,0.0,0.0,0.9999999966463331,0.0,0.0,0.9999999980958729,0.9999999945521876,0.23628309725934704,0.0,0.0,0.0,0.09735987326863382,0.0,0.0,0.0,0.25159346198016874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8-C,0.0,0.0,0.07940634248052714,0.9999999989770043,0.9999999983007375,0.9999999978211953,0.44284520557050033,0.0,0.14510076442836817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999974609866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20795252431991562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7-C,0.0,0.0,0.3683373406499715,0.0,0.9999999985698969,0.9999999983856966,0.3564530152964376,0.0,0.0,-0.08279869395690376,0.0,0.0,0.0,0.0,0.9999999992912039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2317061484926649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6-C,0.0,0.0,0.7229533276798152,0.9999999993801454,0.999999999086846,0.9999999986034598,0.0,0.0,0.9999999993145483,0.0,0.0,0.0,0.0,0.0,0.0,0.12335177451882329,0.9999999978915268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1248212971561975
9-C,0.0,0.0,0.9999999986904524,0.9999999988782318,0.9999999986582098,0.999999998606633,0.0,0.0,0.9999999990237489,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999990119179,0.9999999987167587,0.0,0.0,0.0,0.12373954631089701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7-B,0.0,0.0,0.9999999985742929,0.9999999980021734,0.15132446341988848,0.0,0.12215907717168117,0.9999999990915232,0.5146130779856064,0.0,0.0,0.0,0.0,0.0,0.12606274489585467,0.9999999986170764,0.1268472239876961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999985997947,0.0,0.0,0.0,0.0,0.0,0.20098663558775764,0.0,0.0,0.0,0.0
7-A,0.0,0.0,0.0,0.9999999990678636,0.0,0.0,0.0,0.11918366848074546,0.9999999987979369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999999999402257,0.0,0.0,0.9999999994284656,0.0,0.9999999995190554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6-B,0.0,0.0,0.0,0.0,0.12702916419569732,0.0,0.0,0.0,0.9999999991145638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30791145027012723,0.0,0.0
9-B,0.0,0.0,0.0,0.9999999984468315,0.9999999983485499,0.9999999984326082,0.0,0.23971210196399984,0.3525805468583083,0.0,0.0,0.0,0.0,0.0,0.0,0.3691525596948251,0.9999999987513464,0.0,0.0,0.9999999986563319,0.0,0.0,0.0,0.9999999981045373,-0.3076758158730559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8-B,0.0,0.0,0.6441572522309511,0.0,0.10091409218565284,0.5457407581095082,0.0,0.0,0.10091409275915786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04954469326834321,0.0,0.0,0.0,-0.2533001965506865,0.0,0.0,0.049544694678035794,0.3457676493194748,0.0,0.0,0.0,-0.4491233129554042,0.0,0.0,0.0,0.0,0.0,0.49820775155089625
8-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23971210206612015,0.14047252746798256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999984887515,0.0,0.0,0.0,0.99999999794424,0.0,0.0,0.9999999984067345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-B,0.12426573902299509,0.3443669704194303,0.0,0.0416741570459811,0.0,0.0,0.0,0.0,0.3443669731126364,0.0,0.3443669716576112,0.0,0.0,0.3443669695372782,0.0,0.0,0.0,0.34436696867500527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0651656277575563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12009802418794147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-B,0.0,0.0,0.0,0.3675093021110336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49894323369461424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125011890945941,0.1451007652679972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7480996197668353,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999993432909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1687023537061847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3402185700274709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-A,0.9999999975047871,-9.927689781363824e-10,0.0,0.3456827254484065,0.0,0.0,0.0,0.0,0.9999999977493133,0.0,0.5551733334439186,0.3460155307778552,0.0,0.9999999963354174,0.0,0.0,0.3431576059969128,0.0,0.0,0.0,0.0,0.0,0.243417458028929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5-C,0.0,0.0,0.0,0.0,0.9999999978363467,0.0,0.0,0.0,0.0,0.999999996797527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999991573925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3-C,0.0,0.0,0.0,0.1838698582908489,0.0,0.0,0.0,0.0,-0.08306718651436162,0.9999999980045375,0.0,0.0,0.0,0.0,0.0,0.0,0.999999996876743,0.0,0.0,0.9999999993279738,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999983662315,0.0,0.0,0.0,0.0,0.0,0.0,0.18386985829085045,0.0
1-C,0.0,0.0,0.0,0.1248033978934795,0.0,0.0,0.0,0.0,0.0,0.15075519625868528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15075519766341183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10-C,0.0,0.0,-0.06665124160213887,0.0,0.12877120288428356,0.12012334604974018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6-A,0.0,0.0,0.0,0.30583696125100035,0.0,0.0,0.0,0.9999999995064761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999994813751,0.0,0.0,0.9999999986572095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10-B,0.0,0.0,0.5006476907734898,-0.30762711573623436,0.0,0.3356532007368076,-0.4663073019794829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3431280039684097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12571129725402397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12503236793556938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-C,0.0,0.0,0.0,0.0,0.0,0.12432127050263375,0.0,0.0,0.14717645024071158,0.14717645110079847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13-C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30773086161669516,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4-C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2012983509176991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-B,0.0,0.0,0.0,0.0,0.2648995897650168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3047453538079108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5-B,0.0,0.0,0.0,0.0,0.0,0.12625883794104653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34114353590458446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34342657903011387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3623073317318366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12590590076312402,0.0,0.0,0.1326090243429039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
